,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,,
1,Escolas pactuadas,573.0,
2,Escolas atingidas por ações do PSE,303.0,52.87958115
3,Escolas com ações prioritárias do MS,226.0,39.44153578
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,AlimenSaud,133.0,
21,S Bucal,164.0,
22,Vacina,95.0,
23,Dengue,116.0,
24,Antro,46.0,
25,S Ocular,28.0,
26,SMental,38.0,
27,SaudeSexual,23.0,
28,EduAmb,30.0,
29,PraCorporais,9.0,
30,Violencias,23.0,
31,CulturaPaz,12.0,
32,Alcool Drogas,16.0,
33,S Auditiva,0.0,
