Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC ENS MEDIO CESI ZONA SUL,43000452,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JOSE BRAULIO DA FONSECA, 44 ESCOLA. ABERTA DOS MORROS. 91787-895 Porto Alegre - RS.",(51) 33461880,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.16047,-51.18704
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,E E IND ENS FUN TUPE PAN,43000479,RS,Porto Alegre,Urbana,Terra indígena,Pública,"R PADRE WERNER S/INF COMUNIDADE, S/INF COMUNIDADE. TRISTEZA. 91920-770 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA TECNICA CECILIA MEIRELES - SEG,43000487,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS ANDRADAS, 1001 CONJUNTO 301. CENTRO HISTORICO. 90020-015 Porto Alegre - RS.",(51) 30842420,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-30.03075,-51.23133
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,QI ESCOLAS E FACULDADES LTDAA ALBERTO BINS,43000495,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ALBERTO BINS, 320 CENTRO. 90030-140 Porto Alegre - RS.",,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-30.02812,-51.22237
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO PROFISSIONAL PROFESSOR ALBERT EINSTEIN,43000517,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS ANDRADAS, 1270 7º ANDAR. CENTRO HISTORICO. 90020-008 Porto Alegre - RS.",(51) 32256917,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-30.03069,-51.22703
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,QI ESCOLAS E FACULDADES LTDAA JULIO DE CASTILHOS,43000533,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV. ALBERTO BINS, 324 CENTRO. 90030-131 Porto Alegre - RS.",,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-30.02523,-51.22271
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IFRS - CAMPUS PORTO ALEGRE RESTINGA,43001190,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALBERTO HOFFMANN, 285 DISTRITO INDUSTRIAL. RESTINGA. 91791-508 Porto Alegre - RS.",(51) 32478400,Federal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-30.14187932,-51.13074911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,E E IND ENS FUN PINDO POTY,43001254,RS,Porto Alegre,Urbana,Terra indígena,Pública,"ETR VAREJAO 217, 217 LAMI. 91787-170 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-30.22072,-51.09536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI SITIO DA INFANCIA,43001840,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JUCA BATISTA, 21 CAVALHADA. 91770-001 Porto Alegre - RS.",(51) 991188259,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.1271165,-51.2373036
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI AQUARELA DO SABER,43001858,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MAESTRO MENDANHA, 240 SANTANA. 90620-160 Porto Alegre - RS.",(51) 32194336,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.04889,-51.20554
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PA PI PUM,43001874,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FREDERICO ETZBERGER, 301 NONOAI. 91720-510 Porto Alegre - RS.",(51) 30290905,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA PARALISADA,EEI ECOKIDS ESTACAO CRIANCA,43001912,RS,Porto Alegre,Urbana,Não Informado,Privada,"RUA REGENTE, 176 PETROPOLIS. 90470-170 Porto Alegre - RS.",(51) 30194019,Privada,Não Informado,Não,,,,,-30.0311,-51.18156
ESCOLA PARALISADA,IEI CRECHE DO CORACAO,43001971,RS,Porto Alegre,Urbana,Não Informado,Privada,"RUA RIO MARIA, 207 CASCATA. 91712-270 Porto Alegre - RS.",(51) 33545892,Privada,Não Informado,Não,,,,,-30.09194,-51.1752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI TURMA DA MAGALI,43001980,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ADAO PRETTO, 4967 LOMBA DO PINHEIRO. 91570-735 Porto Alegre - RS.",(51) 33363767,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PEQUENOS BRILHANTES,43001998,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA BALTAZAR DE OLIVEIRA GARCIA, 4660 FUNDOS LATERAL. RUBEM BERTA. 91180-000 Porto Alegre - RS.",(51) 33657890,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.01355,-51.09916
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST EDUC INF BILINGUE UP KIDS SCHOOL,43002021,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ALAMEDA EMILIO DE MENEZES, 100 TRES FIGUEIRAS. 91340-360 Porto Alegre - RS.",(51) 33287118,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,-30.02981,-51.17807
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CAMBALHOTA KIDS,43002030,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DR. VOLTAIRE PIRES, 617 SANTO ANTONIO. 90610-250 Porto Alegre - RS.",(51) 30617332,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.05208,-51.20386
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI GENTE MIUDA,43002064,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA BENNO MENTZ, 215 VILA IPIRANGA. 91370-020 Porto Alegre - RS.",(51) 33666812,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0124666,-51.1480022
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI SOBRADINHO ALEGRE,43002188,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA CORONEL LUCAS DE OLIVEIRA, 1927 PETROPOLIS. 90460-001 Porto Alegre - RS.",(51) 33884807,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.03969,-51.1946
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PAMPEANO,43002200,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DONA LEONOR, 360 RIO BRANCO. 90450-210 Porto Alegre - RS.",(51) 30192528,Privada,Particular,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0293,-51.19355
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PAIS E FILHOS,43002218,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SILVEIRO, 841 MENINO DEUS. 90850-170 Porto Alegre - RS.",(51) 33079202,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.06071,-51.22837
