TOTAL DE ESCOLAS ATINGIDAS,164,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Pse,,,Informado,,,,,
Data mes,,,2,3,4,5,6,7
Tema saude saude bucal,,,Sim,Sim,Sim,Sim,Sim,Sim
Us gerencia,Us,Inep,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet
COORDENADORIA DE SAÚDE LESTE,Clinica da Familia Morro Santana,EMEF PORTO ALEGRE,-,-,-,1,1,-
,Unidade de Saude Bananeiras,5050 EEI NSA SRA APARECIDA SAO PEDRO,-,1,-,-,-,-
,,ESC EST ENS FUN CORONEL APARICIO BORGES,-,-,1,-,-,-
,,ESC EST ENS FUN DR EMILIO KEMP,-,-,1,-,-,1
,,ESC EST ENS FUN MAURICIO SIROTSKY SOBRINHO,-,1,-,-,-,-
,,ESC EST ENS FUN SANTA LUZIA,-,-,-,-,4,-
,Unidade de Saude Barao de Bage,ESC EST ENS FUN ACORIANOS,-,-,-,2,-,-
,Unidade de Saude Bom Jesus,5045 EEI SOMAI,-,-,1,-,-,2
,,ESC EST ENS MED ANTAO DE FARIA,-,-,1,-,-,-
,Unidade de Saude Ceres,COL ESTADUAL FRANCISCO A VIEIRA CALDAS JR,-,-,-,2,-,-
,Unidade de Saude Chacara da Fumaca,5189 IEI CORACAO VALENTE,-,-,-,1,2,-
,Unidade de Saude Ernesto Araujo,EMEF PROF JUDITH MACEDO DE ARAUJO,-,-,-,-,2,-
,Unidade de Saude Indigena de Porto Alegre,E E IND ENS FUN FAG NHIN,-,1,-,-,-,-
,,E E IND ENS FUN TUPE PAN,-,-,1,-,-,-
,Unidade de Saude Jardim Carvalho,5245 EEI ENI MEDEIROS,-,-,-,1,-,-
,,ESC EDUC INF PEQUENO PRINCIPE LTDA,-,-,-,1,-,-
,Unidade de Saude Jardim da Fapa,EMEF DEP VICTOR ISSLER,-,-,-,-,2,-
,Unidade de Saude Mapa,EMEI MARIA MARQUES FERNANDES,-,-,1,-,-,-
,Unidade de Saude Maria da Conceicao Marcelo Martins Moreira,5150 ECEI PE LUIZ PEDROLLO,-,-,-,5,-,-
,,5210 IEI EREMI,-,-,-,5,-,-
,,6001 EEF PEQUENA CASA DA CRIANCA,-,-,-,2,-,-
,,ASSOC BENEFIC SANTA ZITA DE LUCCA,-,-,-,-,2,-
,,ESC EST ENS FUN PADRE BALDUINO RAMBO,-,-,-,2,-,-
,,ESC EST ENS MED OTAVIO ROCHA,-,-,-,2,-,-
,Unidade de Saude Mato Sampaio,5038 IEI NOSSA SENHORA DE FATIMA -BOM JESUS,-,-,-,6,-,-
,,5168 EEI TIA BETH,-,-,-,4,-,-
,,EMEEF PROF LYGIA MORRONE AVERBUCK,-,-,-,-,4,-
,Unidade de Saude Panorama,5053 IEI BALAO MAGICO,-,-,-,1,-,-
,,5063 IEI NOSSA SENHORA APARECIDA -VILA PINHAL,-,-,1,-,-,-
,Unidade de Saude Pitoresca,EMEI JARDIM BENTO GONCALVES,-,-,-,1,-,-
,Unidade de Saude Safira Nova,ESC EST ENS MED MARIZ E BARROS,-,-,-,1,-,-
,Unidade de Saude Santa Helena,ESC EST ENS MED RAFAELA REMIAO,-,-,1,-,-,2
,Unidade de Saude Santo Alfredo,EMEI PADRE ANGELO COSTA,-,-,-,7,-,-
,Unidade de Saude Sao Jose,5055 IEI VOVO IDA,-,-,-,1,-,-
,,EMEI DR WALTER SILBER,-,-,-,-,1,-
,,ESC EST ENS FUN DR MARTINS COSTA JUNIOR,-,-,-,2,-,-
,,ESC EST ENS FUN TENENTE CORONEL TRAVASSOS ALVES,-,-,-,1,-,-
,Unidade de Saude Timbauva,5142 IEI CRESCER COM LAZER,-,-,-,1,-,-
,Unidade de Saude Vicosa,ESC EST ENS FUN PROFESSORA THEREZA NORONHA CARVALHO,-,-,-,2,-,-
,Unidade de Saude Vila Fatima,5034 IEI ALAN BOM JESUS,-,-,1,-,-,-
,Unidade de Saude Wenceslau Fontoura,5116 IEI COLORINDO MEU DIA,-,-,-,-,1,-
,,COLEGIO MARISTA IRMAO JAIME BIAZUS,-,-,1,-,-,-
